Chainage,Mandatory,Cautionary,Informatory
333+687,0,0,0
333+707,0,0,1
333+717,0,0,0
333+727,0,0,0
333+747,0,0,0
333+757,0,0,0
333+767,0,0,0
333+777,0,0,0
333+797,0,0,0
333+807,0,0,0
333+827,0,0,0
333+837,0,0,0
333+857,0,0,0
333+867,0,0,0
333+887,0,0,0
333+897,0,0,0
333+917,0,0,1
333+927,0,0,0
333+947,0,0,0
333+957,0,0,0
333+977,0,0,0
333+987,0,0,0
334+007,0,0,0
334+017,0,0,0
334+037,0,0,0
334+057,0,0,0
334+067,0,0,0
334+087,0,0,0
334+107,0,0,0
334+117,0,0,0
334+137,0,0,0
334+157,0,0,0
334+177,0,0,0
334+187,0,0,0
334+207,0,0,0
334+227,0,0,1
334+247,0,0,0
334+257,0,0,0
334+277,0,0,0
334+297,0,2,0
334+317,0,1,0
334+337,0,0,1
334+347,0,0,0
334+367,0,0,0
334+387,0,0,0
334+397,0,0,0
334+417,0,1,0
334+437,0,0,0
334+447,0,0,0
334+467,0,0,0
334+487,0,0,0
334+497,0,0,0
334+517,0,0,0
334+537,0,0,0
334+547,0,0,0
334+567,0,0,0
334+587,0,0,0
334+597,0,0,0
334+617,0,0,0
334+637,0,0,0
334+657,0,0,0
334+667,0,0,0
334+687,0,0,0
334+707,0,0,0
334+727,0,0,0
334+747,0,0,0
334+767,0,0,0
334+777,0,0,0
334+797,0,0,0
334+817,0,0,0
334+827,0,0,0
334+847,0,0,0
334+867,0,0,0
334+887,0,0,0
334+897,0,0,1
334+917,0,0,0
334+937,0,1,0
334+947,0,0,0
334+967,0,0,0
334+977,0,0,0
334+997,0,0,0
335+017,0,0,0
335+037,0,0,0
335+047,0,0,0
335+067,0,0,0
335+077,0,0,0
335+097,0,0,0
335+107,0,0,0
335+127,0,0,0
335+147,0,0,0
335+157,0,0,0
335+177,0,0,0
335+187,0,0,0
335+207,0,0,1
335+217,0,0,0
335+237,0,0,0
335+257,0,0,0
335+267,0,0,0
335+287,0,0,0
335+297,0,0,0
335+317,0,0,0
335+327,0,0,0
335+347,0,0,0
335+367,0,0,0
335+377,0,1,0
335+397,0,0,0
335+407,0,0,0
335+427,0,0,0
335+447,0,0,0
335+457,0,0,1
335+477,0,0,0
335+487,0,1,0
335+507,0,1,0
335+517,0,0,0
335+537,0,0,0
335+557,0,0,0
335+567,0,0,0
335+587,0,0,0
335+597,0,0,0
335+617,0,0,0
335+627,0,0,0
335+647,0,0,0
335+667,0,0,0
335+677,0,0,0
335+697,0,0,0
335+717,0,0,0
335+727,0,1,0
335+747,0,0,0
335+757,0,0,0
335+777,0,0,0
335+797,0,0,0
335+807,0,0,0
335+827,0,0,0
335+847,0,0,0
335+857,0,0,0
335+877,0,0,0
335+897,0,0,0
335+907,0,0,0
335+927,0,0,0
335+947,0,0,0
335+957,0,0,0
335+977,0,0,0
335+987,0,0,0
336+007,0,0,0
336+027,0,0,0
336+037,0,0,0
336+057,0,0,0
336+077,0,0,0
336+087,0,0,0
336+107,0,0,0
336+117,0,0,0
336+137,0,0,0
336+157,0,0,0
336+167,0,0,0
336+187,0,0,0
336+207,0,0,0
336+217,0,0,0
336+237,0,0,0
336+247,0,0,0
336+267,0,0,0
336+287,0,0,0
336+307,0,0,0
336+317,0,0,0
336+337,0,0,0
336+347,0,0,0
336+367,0,0,0
336+387,0,0,0
336+407,0,0,0
336+417,0,0,0
336+437,0,0,0
336+457,0,0,0
336+477,0,0,0
336+487,0,1,0
336+507,0,0,0
336+527,0,0,0
336+547,0,0,0
336+557,0,0,0
336+577,0,0,0
336+597,0,0,0
336+607,0,0,0
336+627,0,0,0
336+647,0,0,0
336+657,0,0,0
336+677,0,0,1
336+697,0,0,0
336+707,0,0,0
336+727,0,0,0
336+747,0,0,0
336+757,0,0,0
336+777,0,0,0
336+787,0,0,0
336+807,0,1,0
336+817,0,0,0
336+837,0,0,0
336+847,0,0,0
336+867,0,0,0
336+887,0,0,0
336+897,0,0,0
336+917,0,1,0
336+927,0,0,0
336+947,1,0,0
336+957,0,0,0
336+967,0,0,0
336+987,0,0,0
336+997,0,0,0
337+017,0,0,0
337+027,0,0,0
337+037,0,0,0
337+057,0,1,0
337+067,0,0,0
337+087,0,0,0
337+097,0,0,0
337+117,0,0,0
337+127,0,0,0
337+147,0,1,0
337+167,0,0,0
337+177,0,0,0
337+197,0,0,0
337+207,0,1,0
337+227,0,0,0
337+237,0,0,0
337+247,0,0,0
337+267,0,0,0
337+277,0,0,0
337+297,0,0,0
337+307,0,0,0
337+327,0,0,0
337+337,0,0,0
337+347,0,0,0
337+367,0,0,0
337+377,0,0,0
337+387,0,0,0
337+407,0,0,1
337+417,0,0,1
337+427,0,0,0
337+447,0,0,0
337+457,0,0,0
337+467,0,0,0
337+487,0,0,0
337+497,0,0,0
337+507,0,0,0
337+527,0,0,0
337+537,0,0,0
337+547,0,0,0
337+567,0,0,0
337+577,0,0,0
337+587,0,0,0
337+597,0,0,0
337+617,0,0,0
337+627,0,0,0
337+637,0,0,0
337+647,0,0,0
337+657,0,0,0
337+667,0,0,0
337+677,0,0,0
337+687,0,1,0
337+707,0,0,0
337+717,0,0,0
337+727,0,0,0
337+737,0,0,0
337+747,0,0,0
337+767,0,0,0
337+777,0,0,0
337+787,0,1,0
337+797,0,0,0
337+817,0,0,0
337+837,0,0,0
337+847,0,0,0
337+867,0,0,0
337+877,0,0,0
337+887,0,0,0
337+907,0,0,0
337+917,0,0,0
337+937,0,0,0
337+947,0,0,0
337+967,0,0,0
337+977,0,0,0
337+997,0,0,0
338+007,0,0,0
338+027,0,0,0
338+037,0,0,0
338+057,0,0,0
338+067,0,0,0
338+087,0,0,0
338+107,0,0,0
338+117,0,0,0
338+137,0,1,0
338+157,0,0,0
338+177,0,0,0
338+187,0,0,0
338+207,0,0,0
338+227,0,0,0
338+247,0,0,0
338+257,0,0,0
338+277,0,0,0
338+297,0,0,0
338+317,0,0,0
338+337,0,0,0
338+347,0,0,0
338+367,0,0,0
338+387,0,0,0
338+397,0,0,0
338+417,0,0,0
338+437,0,0,0
338+457,0,0,0
338+467,0,0,0
338+487,0,0,0
338+507,0,0,0
338+517,0,1,0
338+537,0,0,0
338+557,0,0,0
338+567,0,0,0
338+587,0,0,0
338+597,0,0,0
338+617,0,0,0
338+637,0,0,0
338+647,1,0,0
338+667,0,1,0
338+677,0,0,0
338+697,0,0,0
338+717,0,0,1
338+727,0,0,0
338+747,0,0,0
338+757,0,0,0
338+777,0,0,0
338+787,0,0,0
338+807,0,0,0
338+827,0,0,0
338+837,0,0,0
338+857,1,0,0
338+867,0,0,0
338+887,0,1,0
338+897,0,0,0
338+917,0,0,0
338+927,0,0,0
338+947,0,0,0
338+957,0,0,1
338+977,0,0,0
338+987,0,2,0
338+997,0,0,0
339+017,0,0,0
339+027,0,1,0
339+037,0,0,0
339+057,0,1,0
339+067,0,1,0
339+077,0,0,0
339+087,0,1,0
339+107,0,1,0
339+117,0,0,0
339+127,0,0,0
339+137,0,1,0
339+147,0,0,0
339+167,0,0,0
339+177,0,0,0
339+187,0,0,0
339+197,0,0,0
339+207,0,0,0
339+227,0,0,0
339+237,0,0,0
339+247,0,0,0
339+257,0,0,0
339+267,0,0,0
339+287,0,0,0
339+297,0,0,0
339+307,0,0,0
339+327,0,0,0
339+337,0,0,0
339+357,0,0,0
339+367,0,0,0
339+377,0,0,0
339+397,0,0,0
339+407,0,0,0
339+427,0,0,0
339+437,0,0,0
339+447,0,0,0
339+467,0,0,0
339+477,0,0,0
339+497,0,0,0
339+507,0,0,0
339+527,0,0,0
339+537,0,0,0
339+547,0,0,0
339+567,0,0,0
339+577,0,0,0
339+587,0,0,0
339+607,0,0,0
339+617,0,0,0
339+637,0,0,1
339+647,0,0,0
339+657,0,0,0
339+677,0,0,0
339+687,0,0,0
339+707,0,0,0
339+717,0,1,0
339+727,0,0,0
339+737,0,0,0
339+757,0,0,0
339+767,0,0,0
339+787,0,0,0
339+797,0,0,0
339+807,0,0,0
339+827,0,0,0
339+837,0,0,0
339+847,0,0,0
339+867,0,0,0
339+877,0,0,0
339+887,0,0,0
339+907,0,0,0
339+917,0,0,0
339+927,0,0,0
339+937,0,0,0
339+957,0,0,0
339+967,0,0,0
339+977,0,0,0
339+997,0,0,0
340+007,0,0,0
340+027,0,0,0
340+037,0,0,0
340+047,0,0,0
340+067,0,0,0
340+077,0,0,0
340+097,0,0,0
340+107,0,0,0
340+117,0,0,0
340+137,0,0,0
340+147,0,0,0
340+167,0,0,0
340+177,0,0,0
340+197,0,0,0
340+207,0,0,0
340+227,0,0,0
340+237,0,0,0
340+257,0,0,0
340+267,0,0,0
340+287,0,0,0
340+297,0,1,0
,0,0,0
340+307,0,0,0
340+327,0,1,0
340+337,0,1,0
340+357,0,0,0
340+367,0,1,0
340+387,0,0,0
340+397,0,1,0
340+417,0,1,0
340+437,0,1,1
340+447,0,1,1
340+467,0,0,0
340+477,1,0,0
340+497,0,0,0
340+507,0,0,0
340+527,0,0,0
340+537,0,0,0
340+557,0,0,0
340+567,0,0,0
340+577,0,0,1
340+597,0,0,0
340+607,0,0,0
340+627,0,0,0
340+637,0,0,0
340+657,0,0,0
340+667,0,0,0
340+687,0,0,0
340+697,0,0,0
340+717,0,0,0
340+727,0,0,0
340+747,0,0,0
340+757,0,0,1
340+777,0,0,0
340+787,0,1,0
340+807,0,0,2
340+817,0,1,1
340+827,0,1,0
340+847,0,0,0
340+857,0,0,0
340+877,0,0,1
340+887,0,0,0
340+907,0,0,0
340+917,0,0,0
340+937,0,0,0
340+947,0,0,0
340+957,0,0,0
340+977,0,0,0
340+987,0,1,0
341+007,0,0,0
341+017,0,0,0
341+037,0,0,0
341+047,0,0,0
341+057,0,0,0
341+077,0,0,0
341+087,0,0,0
341+097,0,0,0
341+117,1,0,0
341+127,0,0,1
341+137,0,0,0
341+157,0,0,1
341+167,0,0,0
341+177,0,0,0
341+187,0,0,1
341+207,0,0,1
341+217,0,0,0
341+227,0,0,0
341+237,0,0,0
341+257,0,0,0
341+267,0,0,0
341+277,0,0,0
341+297,0,0,0
341+307,0,0,0
341+317,0,0,0
341+327,1,0,0
341+347,0,0,0
341+357,0,0,0
341+367,0,0,0
341+377,0,0,0
341+387,0,0,0
341+407,1,0,0
341+417,0,0,0
341+427,1,0,0
341+437,0,0,0
341+457,0,0,0
341+467,0,0,0
341+477,0,0,0
341+497,0,0,0
341+507,0,0,0
341+517,0,0,0
341+527,0,0,0
341+537,0,0,0
341+557,0,0,0
341+567,0,0,0
341+577,0,0,0
341+587,0,0,0
341+597,0,0,0
341+607,0,1,0
341+617,0,0,0
341+627,0,0,0
341+647,0,0,0
341+657,0,0,0
341+667,0,0,0
341+677,0,0,0
341+687,0,0,0
341+697,0,0,0
341+707,0,0,0
341+717,1,0,0
341+737,0,0,1
341+747,1,0,0
341+757,0,0,0
341+767,0,0,0
341+787,0,0,0
341+797,0,0,0
341+807,0,0,0
341+817,0,0,0
341+837,0,0,0
341+847,0,0,0
341+857,0,0,0
341+877,0,0,0
341+887,0,0,0
341+897,0,0,0
341+917,0,0,0
341+927,0,0,1
341+937,0,0,0
341+957,0,0,0
341+967,0,0,0
341+987,0,0,0
341+997,0,1,0
342+007,0,0,0
342+027,0,0,0
342+037,0,0,0
342+057,0,1,0
342+067,0,1,0
342+087,0,0,0
342+097,0,1,0
342+117,0,0,0
342+127,1,2,0
342+147,0,1,0
342+157,0,0,0
342+167,0,0,0
342+187,0,0,0
342+197,0,0,0
342+217,0,1,0
342+227,0,0,0
342+237,0,1,0
342+257,1,0,0
342+267,0,0,0
342+277,0,0,0
342+287,0,1,0
342+307,0,0,0
342+317,0,0,0
342+327,0,1,0
342+337,0,0,0
342+347,0,0,0
342+357,0,0,0
342+377,0,0,0
342+387,0,0,0
342+397,0,0,0
342+417,0,0,0
342+427,0,0,0
342+437,0,1,0
342+457,0,0,1
342+467,0,0,0
342+487,0,0,0
342+497,0,0,0
342+517,1,0,0
342+527,0,0,0
342+537,0,0,0
342+557,0,0,0
342+567,0,0,0
342+587,0,0,0
342+607,0,0,0
342+617,0,0,0
342+637,0,0,0
342+647,0,0,0
342+667,0,0,0
342+677,0,0,0
342+697,0,0,0
342+707,0,0,0
342+727,0,2,0
342+737,0,0,0
342+757,0,0,0
342+777,0,0,0
342+787,0,0,0
342+807,0,0,0
342+817,0,0,0
342+837,0,0,0
342+847,0,0,0
342+867,0,0,0
342+887,0,0,0
342+897,0,0,0
342+917,0,0,0
342+937,0,0,0
342+947,0,0,0
342+967,0,0,0
342+987,0,0,0
342+997,0,1,0
343+017,0,0,0
343+027,0,0,0
343+047,0,0,0
343+067,0,0,0
343+077,0,0,0
343+097,0,0,0
343+107,0,0,0
343+127,0,0,0
343+147,1,0,0
343+157,0,0,0
343+177,0,0,0
343+187,0,0,0
343+207,0,0,0
343+217,0,0,1
343+237,0,0,0
343+247,0,0,0
343+267,0,0,0
343+277,0,0,0
343+297,0,0,0
343+307,0,0,0
343+327,1,0,0
343+347,1,0,0
343+357,0,1,0
343+377,0,0,0
343+397,0,0,0
343+407,1,0,0
343+427,0,0,0
343+447,0,0,0
343+457,0,0,0
343+477,0,0,0
343+497,0,0,0
343+507,0,0,0
343+527,0,0,0
343+537,0,0,0
343+557,0,0,0
343+567,0,0,0
343+587,0,0,0
343+597,0,0,0
343+617,0,0,0
343+627,1,0,0
343+637,0,0,0
343+657,0,0,0
343+667,1,0,0
343+677,0,0,0
343+697,0,0,0
343+707,0,0,0
343+717,0,1,0
343+737,0,0,0
343+747,0,0,0
343+757,0,0,0
343+777,0,0,0
343+787,0,0,0
343+797,0,0,0
343+807,0,0,1
343+817,0,0,0
343+827,0,0,0
343+847,0,0,0
343+857,0,0,0
343+867,0,0,0
343+877,0,0,0
343+887,0,0,0
343+897,0,0,0
343+917,0,0,1
343+927,0,0,0
343+937,0,0,0
343+947,0,0,1
343+957,0,0,0
343+967,0,0,0
343+987,0,0,1
343+997,0,0,0
344+007,0,0,0
344+017,0,0,0
344+027,0,0,0
344+047,0,0,0
344+057,0,0,0
344+067,0,0,0
344+077,0,0,0
344+087,0,0,1
344+097,0,1,0
344+117,0,1,0
344+127,0,1,0
344+137,0,0,0
344+147,0,0,0
344+167,0,0,0
344+177,0,1,0
344+187,0,0,0
344+197,0,0,0
344+217,0,1,0
344+227,0,1,0
344+237,0,0,0
344+247,0,0,0
344+267,0,0,0
344+277,0,0,0
344+287,0,0,0
344+297,0,0,0
344+317,0,0,0
344+327,0,0,0
344+337,0,0,0
344+347,0,0,0
344+357,0,0,0
344+367,0,0,0
344+387,0,0,0
344+397,0,0,0
344+407,0,0,1
344+417,0,0,0
344+427,0,0,1
344+447,0,0,0
344+457,0,0,0
344+467,0,0,0
344+477,0,0,0
344+497,0,0,0
344+507,0,1,0
344+517,0,0,0
344+537,0,0,0
344+547,0,0,1
344+557,0,0,0
344+567,0,0,0
344+587,0,0,0
344+597,0,0,0
344+607,0,0,0
344+627,0,0,1
344+637,0,0,0
344+647,0,0,0
344+667,0,0,0
344+677,0,0,0
344+687,0,0,0
344+707,0,0,0
344+717,0,0,0
344+727,0,1,0
344+747,0,0,0
344+757,0,0,0
344+777,0,0,0
344+787,0,0,0
344+797,0,0,0
344+817,0,1,0
344+827,0,0,0
344+847,0,0,0
344+857,0,0,0
344+877,0,0,0
344+887,0,0,0
344+907,0,0,0
344+917,0,0,0
344+937,0,0,0
344+947,0,0,0
344+967,0,0,0
344+977,0,0,0
344+997,0,0,0
345+007,0,0,0
345+027,0,0,0
345+037,0,0,0
345+057,0,1,0
345+067,0,0,0
345+087,0,0,0
345+097,0,0,0
345+117,0,0,0
345+127,0,0,0
345+147,0,0,0
345+157,0,0,0
345+177,0,0,0
345+187,0,0,0
345+207,0,0,0
345+217,0,0,0
345+237,0,0,0
345+257,0,0,0
345+267,0,0,0
345+287,0,0,0
345+297,0,0,0
345+317,0,0,0
345+327,0,1,0
345+347,0,0,0
345+357,0,1,0
345+377,0,0,0
345+397,0,0,0
345+407,0,1,0
345+427,0,0,0
345+447,0,0,1
345+457,0,0,1
345+477,0,0,0
345+497,0,0,0
345+507,0,0,0
345+527,0,0,0
345+547,0,0,0
345+557,0,0,0
345+577,0,0,0
345+587,0,1,0
345+607,0,0,1
345+617,0,0,0
345+637,0,0,0
345+647,0,0,0
345+657,0,0,0
345+677,0,0,0
345+687,0,0,0
345+707,0,0,0
345+717,0,0,0
345+737,0,0,0
345+747,0,0,0
345+767,0,0,0
345+777,0,0,0
345+787,0,0,0
345+807,0,0,0
345+817,0,0,0
345+837,0,0,0
345+847,0,0,0
345+857,0,0,0
345+877,0,0,0
345+887,0,0,0
345+907,0,0,0
345+917,0,0,0
345+937,0,0,0
345+947,0,0,0
345+957,0,0,0
345+977,0,0,0
345+987,0,0,0
346+007,0,1,0
346+017,0,0,0
346+027,0,0,0
346+047,0,0,0
346+057,0,1,0
346+077,0,0,0
346+087,0,0,0
346+107,0,0,0
346+117,0,0,0
346+127,0,0,0
346+147,0,0,0
346+157,0,0,0
346+177,0,0,0
346+187,0,0,0
346+197,0,1,0
346+207,0,0,0
346+227,0,1,0
346+237,0,0,0
346+247,0,0,0
346+257,0,0,0
346+277,0,0,0
346+287,0,0,0
346+297,0,0,0
346+317,0,0,0
346+327,0,1,0
346+347,0,0,0
346+357,0,0,0
346+367,0,0,0
346+387,0,0,0
346+397,0,0,0
346+407,0,0,0
346+417,0,0,0
346+437,0,0,0
346+447,0,0,0
346+457,0,0,0
346+467,0,0,0
346+487,0,0,1
346+497,0,0,0
346+507,0,0,1
346+527,0,0,0
346+537,0,0,0
346+547,0,0,0
346+567,0,0,0
346+577,0,0,1
346+587,0,0,0
346+607,0,0,0
346+617,0,0,0
346+627,0,1,0
346+647,0,0,0
346+657,0,0,0
346+667,0,0,0
346+687,0,0,0
346+697,0,0,0
346+717,0,0,0
346+727,0,0,0
346+747,0,0,0
346+757,0,0,0
346+777,0,0,1
346+787,0,0,0
346+807,0,0,0
346+817,0,0,0
346+837,0,0,0
346+847,0,0,0
346+867,0,1,0
346+877,0,0,0
346+897,0,0,0
346+907,0,0,0
346+927,0,0,0
346+937,0,0,0
346+957,0,0,0
346+967,0,0,0
346+987,0,0,0
346+997,0,0,0
347+017,0,0,0
347+037,0,0,0
347+047,0,1,0
347+067,0,0,0
347+077,0,0,0
347+097,0,0,0
347+107,0,0,0
347+127,0,0,0
347+147,0,1,0
347+157,0,0,0
347+177,0,0,0
347+197,0,0,0
347+207,0,0,0
347+227,0,0,0
347+247,0,0,0
347+257,0,0,0
347+277,0,0,0
347+287,0,0,0
347+307,0,0,0
347+327,0,0,0
347+337,0,0,0
347+357,0,0,0
347+377,0,0,0
347+387,0,0,0
347+407,0,0,0
347+417,0,0,0
347+427,0,0,0
347+447,0,0,0
347+467,0,0,0
347+477,0,0,0
347+497,0,0,0
347+507,0,0,0
347+527,0,0,0
347+537,0,0,0
347+557,0,0,0
347+567,0,0,0
347+587,0,0,0
347+597,0,0,0
347+617,0,0,0
347+637,0,0,0
347+647,0,0,0
347+667,0,0,0
347+677,0,0,0
347+697,0,0,0
347+717,0,0,1
347+727,0,0,0
347+747,0,0,0
347+767,0,0,0
347+777,0,0,0
347+797,0,0,0
347+817,0,0,0
347+827,0,0,0
347+847,0,0,0
347+867,0,0,0
347+877,0,0,0
347+897,0,0,0
347+917,0,0,0
347+927,0,1,0
347+947,0,0,0
347+967,0,0,0
347+987,0,0,0
347+997,0,0,0
348+017,0,0,0
348+037,0,0,0
348+047,0,0,0
348+067,0,0,0
348+087,0,0,0
348+097,0,0,0
348+117,0,0,0
348+127,0,0,0
348+147,0,0,0
348+157,0,0,0
348+177,0,0,0
348+197,0,0,0
348+207,0,0,0
348+227,0,1,0
348+247,0,0,0
348+267,0,0,0
348+277,0,0,0
348+287,0,0,0
348+307,0,0,0
348+317,0,0,0
348+337,0,0,0
348+347,0,0,0
348+357,0,0,0
348+377,0,0,0
348+387,0,0,1
348+397,0,0,0
348+417,0,0,0
348+427,0,0,1
348+447,0,0,0
348+457,0,0,0
348+477,0,0,0
348+487,0,1,1
348+497,0,0,0
348+517,0,0,0
348+527,0,0,0
348+547,0,0,0
348+557,0,0,0
348+577,0,0,0
348+587,0,0,0
348+597,0,0,0
348+617,0,0,0
348+627,0,0,0
348+637,0,0,0
348+657,0,0,0
348+667,0,0,1
348+687,0,0,0
348+697,0,0,0
348+707,0,0,0
348+727,0,0,0
348+737,0,0,0
348+747,0,0,0
348+767,0,0,0
348+777,0,0,0
348+797,0,0,0
348+807,0,0,0
348+817,0,0,1
348+837,0,0,0
348+847,0,0,0
348+867,0,0,1
348+877,0,0,0
348+887,0,0,1
348+907,0,0,0
348+917,0,0,0
348+937,0,0,0
348+947,0,0,0
348+957,0,0,1
348+977,0,0,0
348+987,0,0,0
349+007,0,1,0
349+017,0,0,0
349+027,0,0,0
349+047,0,0,0
349+057,0,0,1
349+067,0,0,0
349+087,0,0,0
349+097,0,0,0
349+107,0,0,0
349+127,0,0,0
349+137,0,0,0
349+157,0,0,0
349+167,0,0,0
349+177,0,0,0
349+197,0,0,0
349+207,0,0,0
349+217,0,0,0
349+237,0,0,0
349+247,0,1,0
349+257,0,0,0
349+277,0,0,0
349+287,0,1,0
349+307,0,0,0
349+327,1,0,0
349+337,0,0,1
349+357,0,0,0
349+367,0,0,0
349+387,0,0,0
349+397,0,0,0
349+407,0,1,0
349+427,0,0,1
349+437,0,0,0
349+447,0,0,0
349+467,0,0,0
349+477,0,0,0
349+487,1,0,1
349+497,0,0,0
349+517,0,0,1
349+527,0,0,0
349+537,0,0,1
349+547,1,0,0
349+557,0,0,1
349+577,0,0,0
349+587,0,0,0
349+597,0,0,0
349+617,0,0,0
349+627,0,0,0
349+647,0,0,0
349+667,0,0,0
349+677,0,0,0
349+687,0,1,0
349+707,0,1,0
349+717,0,0,0
349+737,0,0,0
349+747,0,1,0
349+767,0,0,1
349+777,0,0,0
349+797,0,0,1
349+807,0,1,1
349+817,0,0,0
349+837,0,0,1
349+847,0,0,0
349+857,0,0,0
349+877,0,0,0
349+887,0,0,0
349+897,0,0,0
349+917,0,1,0
349+927,0,0,0
349+937,0,0,0
349+947,0,1,0
349+967,0,0,0
349+977,0,0,0
349+987,0,0,0
349+997,0,0,0
350+007,0,0,0
350+027,0,0,0
350+037,0,0,0
350+047,0,0,0
350+057,0,0,0
350+067,0,0,0
350+077,0,0,0
350+087,0,0,0
350+097,0,0,0
350+107,0,0,0
350+117,0,0,0
350+127,0,0,0
350+137,0,0,0
350+147,0,0,0
350+157,0,0,0
,1,0,0
350+167,0,0,0
350+177,0,1,0
350+187,0,1,0
350+197,0,0,0
,0,0,1
350+207,0,1,0
350+217,0,0,0
,0,0,0
350+227,0,0,0
,0,0,0
350+237,0,0,0
,0,0,0
,0,0,0
,0,0,0
350+247,0,0,0
,0,1,0
350+257,0,0,0
,0,0,0
350+267,0,0,0
,0,0,0
350+277,0,0,0
,0,0,0
350+287,0,0,0
350+297,0,0,0
350+307,0,0,0
,0,0,0
350+317,0,0,0
350+327,0,0,0
350+337,0,0,0
350+347,0,0,0
350+357,0,0,0
350+367,0,0,0
350+377,0,0,0
350+387,0,0,0
350+397,0,0,0
350+407,1,0,0
350+417,0,1,0
350+427,0,0,0
350+437,0,0,0
350+447,0,0,0
350+457,1,0,0
350+467,0,0,0
350+487,0,0,0
350+497,0,1,0
350+507,0,0,0
350+517,1,0,0
350+527,0,0,0
350+547,0,0,0
350+557,0,0,1
350+567,0,0,0
350+577,0,1,0
350+597,0,1,0
350+607,0,0,0
350+617,0,0,0
350+637,0,0,0
350+647,0,0,1
350+657,0,0,0
350+667,0,0,0
350+687,0,0,0
350+697,0,0,0
350+707,0,1,0
350+717,0,0,0
350+727,0,0,0
350+747,0,0,0
350+757,0,0,0
350+767,0,1,0
350+777,0,0,0
350+787,0,0,0
350+797,0,0,0
350+807,0,0,0
350+817,0,0,0
350+827,0,0,0
350+837,0,0,0
350+847,0,0,0
350+857,0,0,0
350+867,0,0,0
350+877,0,0,0
350+897,0,0,0
350+907,0,0,0
350+917,0,0,0
350+927,0,0,0
350+937,0,0,0
350+957,0,0,0
350+967,0,0,0
350+977,0,0,0
350+987,0,0,0
351+007,0,0,0
351+017,0,0,0
351+027,0,0,0
351+047,0,0,0
351+057,0,0,0
351+067,0,1,0
351+087,0,0,0
351+097,0,0,0
351+107,0,0,1
351+127,0,0,0
351+137,0,0,0
351+147,0,0,0
351+167,0,0,0
351+177,0,0,0
351+187,0,0,0
351+207,0,0,0
351+217,0,0,0
351+237,0,0,0
351+247,0,1,0
351+257,0,0,0
351+277,0,0,0
351+287,0,0,0
351+307,0,0,0
351+317,0,0,0
351+327,0,0,0
351+347,0,1,0
351+357,0,0,0
351+377,0,0,0
351+387,0,0,0
351+397,0,0,0
351+417,0,0,0
351+427,0,0,0
351+437,0,0,0
351+457,0,0,0
351+467,0,0,0
351+477,0,0,0
351+487,0,0,0
351+507,0,0,0
351+517,0,0,0
351+527,0,0,0
351+537,0,0,0
351+547,0,0,0
351+557,0,0,0
351+577,0,0,0
351+587,0,0,0
351+597,0,0,0
351+607,0,2,0
351+617,0,0,0
351+637,0,0,0
351+647,0,1,0
351+657,0,0,0
351+667,0,0,0
351+687,0,0,0
351+697,0,0,0
351+707,0,0,0
351+727,0,0,0
351+737,0,1,0
351+747,0,0,0
351+767,0,0,0
351+777,0,0,0
351+787,0,0,0
351+807,0,0,0
351+817,0,0,0
351+827,0,0,0
351+847,0,0,0
351+857,0,0,0
351+877,0,0,0
351+887,0,0,0
351+907,0,0,0
351+917,0,0,0
351+937,0,0,0
351+947,0,0,0
351+967,0,0,0
351+977,0,0,0
351+997,0,0,0
352+007,0,0,0
352+027,0,1,0
352+037,0,0,0
352+057,0,0,0
352+077,0,0,0
352+087,0,0,0
352+107,0,0,0
352+117,0,0,0
352+137,0,0,0
352+157,0,0,0
352+167,0,0,0
352+187,0,0,0
352+207,0,0,0
352+217,0,0,0
352+237,0,0,0
352+247,0,0,1
352+267,0,0,0
352+277,0,0,0
352+287,0,0,0
352+307,0,0,0
352+317,0,0,0
352+327,0,0,0
352+347,0,0,0
352+357,0,0,0
352+367,0,0,0
352+377,0,0,0
352+397,0,0,0
352+407,0,0,0
352+417,0,0,0
352+427,0,0,0
352+437,0,0,0
352+457,0,0,0
352+467,0,0,0
352+477,0,0,0
352+497,0,0,0
352+507,0,0,0
352+517,0,1,0
352+537,0,0,0
352+547,0,0,0
352+557,0,0,0
352+567,0,0,0
352+587,0,0,0
352+597,0,0,0
352+607,0,0,0
352+627,0,0,0
352+637,0,0,0
352+647,0,0,0
352+657,0,0,0
352+677,0,0,0
352+687,0,0,0
352+707,0,0,0
352+717,0,0,0
352+727,0,0,0
352+737,0,0,0
352+757,0,1,0
352+767,0,0,0
352+777,0,0,0
352+787,0,0,0
352+797,0,0,0
352+807,0,1,0
352+827,0,0,0
,0,0,0
352+847,0,1,0
352+857,0,0,0
352+867,0,1,0
352+877,0,0,0
352+887,0,1,0
352+897,0,0,0
352+907,0,1,0
352+917,0,0,0
352+937,0,0,0
352+947,0,0,0
352+957,0,0,0
352+967,2,0,0
352+987,0,0,0
352+997,0,0,0
353+007,0,0,0
353+017,0,1,0
353+037,0,0,0
353+047,0,0,0
353+057,0,0,0
353+067,0,0,0
353+087,0,1,0
353+097,0,0,0
353+117,0,1,0
353+127,0,2,0
353+147,0,0,0
353+157,0,1,0
353+167,0,1,0
353+187,0,0,0
353+197,0,0,0
353+217,0,1,0
353+227,0,1,0
353+247,0,1,0
353+257,0,0,0
353+277,0,0,0
353+287,0,2,0
353+307,0,0,0
353+317,0,1,0
353+337,0,0,0
353+347,0,0,0
353+367,0,2,0
