Chainage,Alligator crack(%),Longitudinal crack(%),Transverse crack(%),Cracking(%),Cracking severity,Good,Fair,Poor,Potholes(%),Potholes severity,Good,Fair,Poor,Rutting(%),Shoving(%),Shoving severity,Patch work(%),Patch work severity,Good,Fair,Poor,%High Severity Bleeding,%Mid Severity Bleeding,%Low Severity Bleeding,Bleeding(%),Bleeding severity,Good,Fair,Poor,%High severity Raveling,%Medium severity Raveling,%Low severity Raveling,Raveling(%),Raveling severity,Good,Fair,Poor,Depression(%),Depression severity,Good,Fair,Poor,Edge crack(%),Edge crack severity,Good,Fair,Poor,Latitude,Longitude,Image Path
11+480,0.174774,0,0,0.174774,Good,1,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.001465,0.091266,0.125808,0.218539,Good,1,0,0,0.010546,0.009207,0.009791,0.029544,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12256,77.04937,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_31019_Alligator_crack.jpg
11+490,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0.374085,Good,1,0,0,0.004089,0.07282,0.112428,0.189337,Good,1,0,0,0.010177,0.005165,0.0073923,0.0227343,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12259,77.04947,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_31049_Patch_work.jpg
11+500,0,0,0,0,N/A,0,0,0,0.161203,Fair,0,1,0,0,0,N/A,0,N/A,0,0,0,0.049588,0.074159,0.130298,0.254045,Good,1,0,0,0.007764,0.005733,0.0080883,0.0215853,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12263,77.04956,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_31069_Potholes.jpg
11+510,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,3.574781,Good,1.275266,Fair,0,1,0,0.110527,0.098224,0.111616,0.320367,Good,1,0,0,0.011155,0.006201,0.0077043,0.0250603,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12266,77.04966,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_31083_Patch_work.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_31085_Shoving.jpg
11+520,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.08135,0.117526,0.103855,0.302731,Good,1,0,0,0.006337,0.005015,0.0076821,0.0190341,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12269,77.04975,
11+530,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.075905,0.1213,0.041947,0.239152,Good,1,0,0,0.008722,0.007553,0.0100593,0.0263343,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12273,77.04985,
11+540,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.099196,0.122773,0.116699,0.338668,Good,1,0,0,0.007087,0.005474,0.0071057,0.0196667,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12276,77.04994,
11+550,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,3.234883,Good,0.315722,Good,1,0,0,0.028067,0.082311,0.109719,0.220097,Good,1,0,0,0.007767,0.00432,0.0068427,0.0189297,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.1228,77.05004,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_31154_Patch_work.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_31167_Shoving.jpg
11+560,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.046131,0.085753,0.109476,0.24136,Good,1,0,0,0.007663,0.005926,0.0066844,0.0202734,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12284,77.05013,
11+570,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.038283,0.098578,0.11769,0.254551,Good,1,0,0,0.014392,0.00799,0.0109772,0.0333592,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12288,77.05022,
11+580,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.013374,0.048818,0.097258,0.15945,Good,1,0,0,0.007411,0.006207,0.0096204,0.0232384,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12292,77.05031,
11+590,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.035253,0.119228,0.113597,0.268078,Good,1,0,0,0.007716,0.00608,0.0094865,0.0232825,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12296,77.0504,
11+600,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.073842,0.124214,0.071989,0.270045,Good,1,0,0,0.006636,0.006931,0.0107912,0.0243582,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.123,77.05049,
11+610,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.063025,0.10551,0.065893,0.234428,Good,1,0,0,0.011382,0.006051,0.0097382,0.0271712,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12304,77.05058,
11+620,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.098198,0.111913,0.070077,0.280188,Good,1,0,0,0.007739,0.006236,0.0102384,0.0242134,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12308,77.05067,
11+630,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.11142,0.114527,0.05339,0.279337,Good,1,0,0,0.005927,0.006085,0.0084425,0.0204545,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12313,77.05076,
11+640,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.039395,0.118711,0.032975,0.191081,Good,1,0,0,0.011149,0.004613,0.0081714,0.0239334,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12318,77.05084,
11+650,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.064657,0.122432,0.036462,0.223551,Good,1,0,0,0.0086,0.005189,0.0072725,0.0210615,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12323,77.05093,
11+660,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.041508,0.129207,0.019041,0.189756,Good,1,0,0,0.008392,0.006802,0.0093156,0.0245096,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.12328,77.05101,
